Periode afgrænsning: 11/10/2016 - 11/11/2016

Dato;tekst;bilag;konto;kontonavn;debit beløb;kredit beløb;modkonto
11-10-2016;SK kontotest 12 [SK];20161011;K90001112M123445;Projektledelse;0,00;;0;
12-10-2016;SK kontotest 12 [SK];20161012;K90001112M123445;Projektledelse;0,00;;0;
26-10-2016;SK TSTET [SK];20161026;;monitoreinrg;100,00;;0;
26-10-2016;SK TSTET [SK];20161026;;Intern;1.300,00;;0;
28-10-2016;Jobnavn.. [SK];20161028;;Aflevering;0,00;;0;
28-10-2016;Jobnavn.. [SK];20161028;;Aflevering;0,00;;0;
28-10-2016;Jobnavn.. [SK];20161028;;Evt. tilpasninger;0,00;;0;
28-10-2016;SK kontotest 12 [SK];20161028;K888001112M12223445;kontotest 1;0,00;;0;
28-10-2016;SK TSTET [SK];20161028;;Worshop 2;650,00;;0;
31-10-2016;SK TSTET [SK];20161031;;Udbud;200,00;;0;
31-10-2016;SK TSTET [SK];20161031;;Udbud 2;200,00;;0;
31-10-2016;SK TSTET [SK];20161031;;Udbud;200,00;;0;
01-11-2016;SK TSTET [SK];2016111;;Udbud 2;200,00;;0;
01-11-2016;SK TSTET [SK];2016111;;Udbud;200,00;;0;

