Periode afgrænsning: 21/9/2016 - 14/10/2016

Dato;tekst;bilag;konto;kontonavn;debit beløb;kredit beløb;modkonto
27-09-2016;SK TSTET Udbud Søren Karlsen;2016927;3224;kontonavnet;5.200,00;;modkonto;
28-09-2016;SK TSTET monitoreinrg Søren Karlsen;2016928;3224;kontonavnet;29.250,00;;modkonto;
29-09-2016;SK TSTET Udbud Søren Karlsen;2016929;3224;kontonavnet;650,00;;modkonto;
03-10-2016;SK TSTET Udbud 2 Søren Karlsen;2016103;3224;kontonavnet;1.300,00;;modkonto;
03-10-2016;SK TSTET Udbud 2 Søren Karlsen;2016103;3224;kontonavnet;1.300,00;;modkonto;
03-10-2016;SK TSTET Udbud 2 Søren Karlsen;2016103;3224;kontonavnet;650,00;;modkonto;
05-10-2016;SK TSTET Udbud 2 Søren Karlsen;2016105;3224;kontonavnet;1.950,00;;modkonto;
06-10-2016;Jobnavn.. Support Søren Karlsen;2016106;3224;kontonavnet;1.377,00;;modkonto;
07-10-2016;Interne Job Oliver opstart Søren Karlsen;2016107;3224;kontonavnet;1.950,00;;modkonto;
07-10-2016;SK kontotest 12 Projektledelse Søren Karlsen;2016107;3224;kontonavnet;0,00;;modkonto;
10-10-2016;SK TSTET Udbud 2 Søren Karlsen;20161010;3224;kontonavnet;650,00;;modkonto;
10-10-2016;SK TSTET Udbud 2 Søren Karlsen;20161010;3224;kontonavnet;1.950,00;;modkonto;
11-10-2016;SK kontotest 12 Projektledelse Søren Karlsen;20161011;3224;kontonavnet;0,00;;modkonto;
12-10-2016;SK kontotest 12 Projektledelse Søren Karlsen;20161012;3224;kontonavnet;0,00;;modkonto;

