Periode afgrænsning: 11/10/2016 - 11/11/2016

Dato;tekst;bilag;konto;kontonavn;debit beløb;kredit beløb;modkonto
11-10-2016;SK kontotest 12 [SK];;K90001112M123445;Projektledelse;0,00;;0;
12-10-2016;SK kontotest 12 [SK];;K90001112M123445;Projektledelse;0,00;;0;
26-10-2016;SK TSTET [SK];;;monitoreinrg;100,00;;0;
26-10-2016;SK TSTET [SK];;;Intern;1.300,00;;0;
28-10-2016;Jobnavn.. [SK];;;Aflevering;0,00;;0;
28-10-2016;Jobnavn.. [SK];;;Aflevering;0,00;;0;
28-10-2016;Jobnavn.. [SK];;;Evt. tilpasninger;0,00;;0;
28-10-2016;SK kontotest 12 [SK];;K888001112M12223445;kontotest 1;0,00;;0;
28-10-2016;SK TSTET [SK];;;Worshop 2;650,00;;0;
31-10-2016;SK TSTET [SK];;;Udbud;200,00;;0;
31-10-2016;SK TSTET [SK];;;Udbud 2;200,00;;0;
31-10-2016;SK TSTET [SK];;;Udbud;200,00;;0;
01-11-2016;SK TSTET [SK];;;Udbud 2;200,00;;0;
01-11-2016;SK TSTET [SK];;;Udbud;200,00;;0;

